0 -86.04688647879772 0.0 838.3152073530251, 1 -188.31663336786318 -60.636776838206174 833.5332385954179, 2 -208.22444635598077 -40.171513900914945 433.02796937943623, 3 -289.7655308696545 41.03682623385578 -23.685148578272106, 6 19.411394720121827 60.63623287853237 843.2885948665739, 7 58.299768185662536 65.20936931481963 432.5543957372753, 8 119.33510566504559 160.58420758025173 0.5458939945324346, 12 -144.84556714653985 37.77779064696688 1140.8924039670353, 13 -138.11296383761317 -14.949922896683546 1371.4005560525718, 14 -91.69239941874176 -102.10078642341739 1423.2936307075424, 15 -93.24238150007983 -121.82186183095554 1555.498295454639, 17 19.422338916668785 62.925630507042925 1343.4160128963108, 18 100.7943782276058 217.00048041588093 1145.996450651121, 19 0.0 144.08168561970223 1011.5010781660282, 25 -282.654247713715 -58.13631222979089 1293.8585622438306, 26 -319.5432292458751 -67.95895080854035 1069.5447254445767, 27 -166.37331687958252 -132.96137285391444 933.0135470919193, 
0 -86.04688647879772 0.0 838.2409407837622, 1 -188.175785989109 -63.58313889884811 833.5333761849316, 2 -207.66754644264293 -50.762144248761594 434.29092295781254, 3 -308.2570021338038 30.23446392775014 -21.202000708419632, 6 19.425479424598528 63.58258795255465 843.1492248127597, 7 77.67336526309863 62.08937926033525 432.86422440962235, 8 119.36032081331594 161.4633264874731 0.27459981969514047, 12 -155.09570252977065 40.292128524515775 1129.9625440785226, 13 -159.00892671874377 -16.43071270847804 1357.3313529816833, 14 -114.84628427873781 -104.4962962262276 1409.3824574302403, 15 -119.76196049252694 -127.0195699147329 1541.2522423182384, 17 0.0 59.34938377777882 1342.9805040574392, 18 80.14421023162085 191.30733023279333 1157.8548596441415, 19 0.0 93.98363825952853 1036.3242014456898, 25 -301.26760025717965 -61.14684494900432 1281.0752778307155, 26 -318.0846205675333 -85.90741183987711 1044.136701427579, 27 -164.67158928076725 -172.5148690570469 920.8573976134695, 
0 -86.04688647879772 0.0 831.8314057083397, 1 -187.6705223692765 -74.15266154999685 821.311600590622, 2 -207.39914940347484 -55.86628192270922 434.8390816830119, 3 -307.94154077457625 26.11003777296625 -20.32187236149798, 6 19.47600541667028 74.15203322255392 842.8193669721566, 7 77.78777610310125 68.07273090826068 432.03131447618733, 8 119.2957448011312 159.21190235718854 0.6828752278726142, 12 -169.0384698722835 40.61309331837013 1128.3282195872225, 13 -180.44028992141426 -5.714972485474732 1359.0070689823187, 14 -129.70364903478475 -88.5871582645193 1415.2269907512054, 15 -136.13071085550385 -106.13081493527298 1549.3838675509696, 17 -38.95074417207131 74.01954787779023 1344.3660478275094, 18 79.57108158017346 161.33438133186286 1156.1501270691138, 19 0.0 36.60213647738415 1060.2628082667875, 25 -319.4308907079513 -69.34129817845775 1267.8471359249572, 26 -311.7282800316623 -164.12340774337068 1041.8183115154907, 27 -160.2710556847972 -274.797096248483 921.0839504239676, 
0 -86.04688647879772 0.0 838.0483159314366, 1 -187.6130832042661 -75.3542215511732 833.6380051950339, 2 -187.67516405060525 -74.05556301763153 437.0394288844933, 3 -306.2172263705853 3.5658902288501793 -15.0809514295197, 6 19.481749315190683 75.3535894623929 842.6965046237567, 7 77.7912481789565 68.25431030047253 431.91264820295925, 8 119.44046589197424 164.2575616517421 -0.5442673524183874, 12 -200.57117145307183 51.50782961979861 1117.006304113545, 13 -223.2941711580565 9.486963661851973 1345.9778530157923, 14 -177.08043446059895 -74.40262101512756 1401.6117376005755, 15 -188.5049799054334 -94.19887697111646 1532.560198133976, 17 -58.53444027059357 81.57291908639317 1345.032713228425, 18 78.75779392159156 118.80182015057747 1153.771415650015, 19 37.814559665901506 -44.81869222576148 1057.5963567411738, 25 -339.3255140756817 -56.504448196474485 1256.3968063240382, 26 -310.17995349727073 -183.17586429251313 1029.132497997488, 27 -158.66792622267815 -312.05886196069275 921.1052589094277, 
0 -95.60765164310861 0.0 831.6264189288453, 1 -187.5431156914332 -76.81785990292633 821.1823307688568, 2 -187.68804336094897 -73.78614294251375 436.8967363527538, 3 -306.1458901734191 2.6332217140891316 -14.968820383164825, 6 0.0 76.81720154909253 842.5554898890109, 7 77.81167302942391 69.32247012431625 431.6724749991658, 8 119.39944969881098 162.82754384952875 -0.33244696813869723, 12 -198.44727201532794 47.81872149547922 1105.0352519074308, 13 -221.92879770715646 2.146810844375935 1331.84779480878, 14 -174.40733626862374 -80.1404641432927 1386.9807312897437, 15 -185.39808872279576 -101.18507564070023 1516.8696222163053, 17 -77.90917056038224 74.42130527414376 1331.3402787567802, 18 78.38397385460169 99.25212613731506 1165.5534036268007, 19 37.665104216815244 -60.45085623332029 1056.994235728495, 25 -357.3008514878766 -66.15000999208787 1243.0788670133452, 26 -308.0163576670786 -209.79932816077476 1016.3873138604297, 27 -140.29041385226418 -331.61124028150994 921.0583038149271, 
0 -105.16841680741949 0.0 818.8912992769946, 1 -186.92143057602354 -89.82278377095109 809.1002101430868, 2 -187.81599716300283 -71.10949939244549 436.4500970657365, 3 -306.57698384010047 8.269455572893293 -16.41184970851873, 6 -19.550914082575993 89.82204804214976 829.2494782231036, 7 77.8796464192493 72.87727921423662 418.26968522786376, 8 119.432053585231 163.96426899162992 -0.6958834828853924, 12 -220.282122147273 44.12277884626889 1103.3399130902528, 13 -242.12946049810515 4.0035468142611705 1333.1882361531661, 14 -191.00768775421477 -72.83444202168332 1390.820897195615, 15 -205.48355571803563 -91.93545127456719 1521.1259292200116, 17 -97.8341419896622 93.1511362653187 1333.0644110985181, 18 39.69943244645979 152.32795327435707 1168.460444899557, 19 57.265856939880706 -6.884668349396726 1058.5764377280798, 25 -356.0039085012369 -80.42923472325666 1241.84334359768, 26 -305.80220347897324 -237.04492237166136 1015.6766132484715, 27 -138.85468284845908 -369.1535023058013 921.0681357910536, 
0 -114.72918197173038 0.0 818.8417466223068, 1 -206.04546052877714 -81.60954051291009 808.7913973215963, 2 -187.8239068561063 -70.94403788455311 448.78215504938225, 3 -306.5291828954681 7.64449324233172 -16.313445125447743, 6 -19.511651861938187 81.60885172092505 829.4073325165676, 7 77.62837204212501 59.736365657325265 419.8793628351651, 8 119.20841944896418 156.16732901791204 1.0020094027399864, 12 -224.51094123032655 49.60758530407334 1102.5769173992655, 13 -241.56918665863518 10.590646633079515 1333.7978188686186, 14 -191.68738409960707 -70.1970764805163 1389.8508156654034, 15 -202.8166913547127 -88.90928736189456 1520.9172857481472, 17 -97.75644797372087 89.90060078594699 1332.6967774535663, 18 19.696995788043996 120.38062843973358 1153.5892369187884, 19 56.45349557215834 -63.530160194534645 1056.738807062916, 25 -375.9413347562071 -67.87397979871974 1242.7845924399523, 26 -307.0906977041847 -221.1897524870283 1015.9774008554662, 27 -138.9869342396899 -365.6953222083418 921.0076670059075, 
0 -114.72918197173038 0.0 818.7921939676189, 1 -205.55350387710496 -90.96513730910436 809.0371644948638, 2 -187.55982114161603 -76.46840146741896 449.41269487192926, 3 -306.1862310254932 3.160648799955453 -15.30146621928418, 6 -19.556374591632355 90.96432252803369 829.121527181104, 7 77.74530419824089 65.85157474918563 431.8919897747205, 8 119.18927546927726 155.49987966081258 1.1020451001980973, 12 -246.02786503247637 46.67915009624718 1102.2934370741914, 13 -262.6327580059648 10.196668895287317 1333.7088429974667, 14 -207.44796513611948 -66.61317762051537 1391.0692124100049, 15 -217.43776551308667 -85.70191467108671 1521.9364576146215, 17 -117.62772534624575 101.05688281572705 1333.7389222309534, 18 0.0 161.38781105186888 1155.7402277935191, 19 57.2632378039973 -7.067299191063896 1058.4715674728736, 25 -374.9612102635821 -78.12550753505253 1241.9260375715828, 26 -306.052369801405 -233.96657753785374 1015.6455279062405, 27 -138.56381034902637 -376.7593919609122 920.9930393190971, 
0 -114.72918197173038 0.0 811.7758292462065, 1 -205.50048967436842 -91.97331456128497 808.3658466600259, 2 -187.68511229410004 -73.84745742516361 448.38689403562154, 3 -307.0914176714705 14.995301027323421 -6.132633449175842, 6 -19.561194064615805 91.9724997817623 815.4761589861757, 7 77.619498060065 59.272282401041906 419.1852653268188, 8 99.12314441008694 147.0799755693707 2.285966915166796, 12 -248.80778983387654 49.25943034432115 1099.9879059155946, 13 -263.2138866863674 19.070049032799105 1334.5279440745624, 14 -207.61078955111807 -56.833376672708624 1393.5480585366026, 15 -218.57504707737417 -74.50461387230345 1525.1961809213808, 17 -117.97272567170668 113.08522014130702 1334.212812519171, 18 -20.010364426766646 185.93367431778034 1143.1409098301517, 19 57.55349219132375 13.171972620216273 1058.4073005467387, 25 -375.58600076476824 -71.59056508590176 1241.73860233295, 26 -307.09080186968515 -221.18847071046 1015.2247344511187, 27 -138.99277864875438 -365.54249947490837 920.254489877096, 
0 -114.72918197173038 0.0 817.3859098233139, 1 -205.60070242604093 -90.06755702086254 807.6025472295324, 2 -187.9902409705543 -67.46452318903678 459.3114487268081, 3 -287.9083207118798 15.136386595300422 -6.868731591647929, 6 -19.552083833096813 90.06674613915656 827.7379094351498, 7 58.20240729112792 58.420450027755905 444.2113913086478, 8 98.78775677699001 133.04814329097178 4.727630730960641, 12 -253.71880297896814 48.144699951283904 1099.6217224723428, 13 -263.1201480454451 17.638733349152474 1333.04724589956, 14 -208.60889113756775 -59.61468369400944 1390.594619371196, 15 -217.42556357654556 -76.86224643986856 1522.040778437592, 17 -117.8218317455711 107.82434671600032 1332.9948679354338, 18 -19.903672777033474 163.6150318452216 1141.3105472847315, 19 57.23827602095182 -8.807869993817288 1057.0103402734958, 25 -375.45130734720766 -72.99937928900958 1253.3202979202665, 26 -305.7828169109717 -237.2834778289777 1026.0433861920408, 27 -121.08127072792746 -381.6024988726455 919.602042980916, 
